,id,text,timestamp,source,symbols,company_names,url,verified,average_happiness
8466,1018568421640826900,"['s', 'tmus', 'vz', 't', 'httpstcotdaroyxzpr']",Sun Jul 15 18:50:10 +0000 2018,SeekingAlpha,TMUS,T-Mobile US,https://seekingalpha.com/article/4187341-t-buy-sell?source=feed_f,False,4.9399999999999995
8467,1018568423213633500,"['s', 'tmus', 'vz', 't', 'httpstcoenrsdmbk']",Sun Jul 15 18:50:10 +0000 2018,SAlphaTech,TMUS,T-Mobile US,https://seekingalpha.com/article/4187341-t-buy-sell?source=twitter_salphatech,False,4.9399999999999995
8603,1018594290321113100,"['commented', 'on', 's', 'tmus', 'vz', 't', 'httpstcogkgzofi']",Sun Jul 15 20:32:58 +0000 2018,gdimit2,TMUS,T-Mobile US,https://seekingalpha.com/article/4187341-t-buy-sell?source=tweet&sht=pbxd2x&shu=bqgq7#comment-79067463,False,5.1466666666666665
8618,1018596779493748700,"['commented', 'on', 'sftby', 'vz', 't', 's', 'tmus', 'httpstcoxdqxmkgeh']",Sun Jul 15 20:42:51 +0000 2018,4GPro,TMUS,T-Mobile US,https://seekingalpha.com/article/4183612-sprint-t-mobile-merger-12-points-fcc-filing-signal-merger-approval-potential-appreciation?source=tweet&sht=pbxdjf&shu=4xrmp#comment-79067511,False,5.146666666666666
8659,1018605972934123500,"['commented', 'on', 'sftby', 'vz', 't', 's', 'tmus', 'httpstcoqaozvjkk']",Sun Jul 15 21:19:23 +0000 2018,4GPro,TMUS,T-Mobile US,https://seekingalpha.com/article/4183612-sprint-t-mobile-merger-12-points-fcc-filing-signal-merger-approval-potential-appreciation?source=tweet&sht=pbxf8b&shu=4xrmp#comment-79067669,False,5.146666666666666
8800,1018645146345168900,"['on', 'the', 'fly', 'top', 'five', 'weekend', 'stock', 'stories', 'fb', 'goog', 'googl', 'twtr', 'aapl', 't', 'vz', 's', 'tmus', 'sne', 'aep', 'nee', 'xel', 'httpstconnotdzq']",Sun Jul 15 23:55:03 +0000 2018,theflynews,TMUS,T-Mobile US,http://dlvr.it/Qbg5CR,False,5.795000000000001
8801,1018645149574946800,"['rt', 'theflynews', 'on', 'the', 'fly', 'top', 'five', 'weekend', 'stock', 'stories', 'fb', 'goog', 'googl', 'twtr', 'aapl', 't', 'vz', 's', 'tmus', 'sne', 'aep', 'nee', 'xel', 'httpstconn']",Sun Jul 15 23:55:03 +0000 2018,tradnews_,TMUS,T-Mobile US,,False,5.724615384615386
8825,1018653243050688500,"['seeking', 'permission', 'to', 'share', 'a', 'cellphones', 'location', 'often', 'falls', 'to', 'thirdparty', 'companies', 'httpstconlmpctcy', 'via', 'wsj', 'vz', 't', 'tmus', 's']",Mon Jul 16 00:27:13 +0000 2018,StansberryWire,TMUS,T-Mobile US,https://www.wsj.com/articles/how-wireless-carriers-get-permission-to-share-your-whereabouts-1531659600,False,5.241538461538462
9021,1018775812345155600,"['rt', 'davidmoadel', 't', 'cellphone', 'pricing', 'goes', 'up', 'httpstcououvrdk', 'vz', 'tmus', 'cmcsa', 'spy', 'gld', 'slv', 'qqq', 'dia', 'djia', 'iwm', 'tlt', 'eem', 'eth']",Mon Jul 16 08:34:16 +0000 2018,Oldie_Records,TMUS,T-Mobile US,https://www.linkedin.com/feed/news/cellphone-pricing-goes-up-1954850/?lipi=urn%3Ali%3Apage%3Ad_flagship3_feed%3B6DgcMroMQPC8u2fZd8pSCQ%3D%3D,False,5.093333333333333
9026,1018779336864911400,"['tmobile', 'us', 'tmus', 'lowered', 'to', 'hold', 'at', 'bidaskclub', 'httpstcocwezkdwyf']",Mon Jul 16 08:48:16 +0000 2018,dispatchtribune,TMUS,T-Mobile US,http://dispatchtribunal.com/?p=2056254,False,5.460000000000001
9091,1018796611185664000,"['analyzing', 'tmobile', 'us', 'tmus', 'amp', 'hellenic', 'telecom', 'organization', 'hltoy', 'httpstcosjehrpgvl']",Mon Jul 16 09:56:55 +0000 2018,OlympiaReport,TMUS,T-Mobile US,http://theolympiareport.com/?p=927098,False,5.8933333333333335
9095,1018796958692139000,"['tmobile', 'us', 'tmus', 'amp', 'hellenic', 'telecom', 'organization', 'hltoy', 'head', 'to', 'head', 'analysis', 'httpstcowpfxibfqf']",Mon Jul 16 09:58:17 +0000 2018,dispatchtribune,TMUS,T-Mobile US,http://dispatchtribunal.com/?p=2056381,False,5.768571428571428
9120,1018800496486899700,"['reviewing', 'nii', 'nihd', 'and', 'tmobile', 'us', 'tmus', 'httpstcosvgnskmn']",Mon Jul 16 10:12:21 +0000 2018,EnterpriseLeade,TMUS,T-Mobile US,http://theenterpriseleader.com/?p=989140,False,5.74
9141,1018801875603349500,"['tmobile', 'us', 'inc', 'tmus', 'forecasted', 'to', 'post', 'q', 'earnings', 'of', 'per', 'share', 'httpstcohujysmbnhg']",Mon Jul 16 10:17:50 +0000 2018,EnterpriseLeade,TMUS,T-Mobile US,http://theenterpriseleader.com/?p=989152,False,5.584444444444445
9624,1018839995229012000,"['headtohead', 'analysis', 'tmobile', 'us', 'tmus', 'vs', 'deutsche', 'telekom', 'dtegy', 'httpstcokdlcyf']",Mon Jul 16 12:49:18 +0000 2018,WatchlistN,TMUS,T-Mobile US,http://zpr.io/6Xhmv,False,5.553333333333332
9774,1018850380476756000,"['bloom', 'tree', 'partners', 'llc', 'stake', 'in', 't', 'mobile', 'us', 'inc', 'tmus', 'has', 'trimmed', 'by', 'million', 'as', 'shares', 'declined', 'httpstcovyvqttq']",Mon Jul 16 13:30:34 +0000 2018,whatsonthorold2,TMUS,T-Mobile US,https://www.whatsonthorold.com/2018/07/16/bloom-tree-partners-llc-stake-in-t-mobile-us-inc-tmus-has-trimmed-by-3-64-million-as-shares-declined/,False,5.784
9780,1018850507841069000,"['as', 't', 'mobile', 'us', 'inc', 'tmus', 'market', 'value', 'declined', 'bloom', 'tree', 'partners', 'llc', 'has', 'cut', 'stake', 'by', 'million', 'httpstcoxdxsfqa']",Mon Jul 16 13:31:05 +0000 2018,mmahotstuff1,TMUS,T-Mobile US,https://www.mmahotstuff.com/2018/07/16/as-t-mobile-us-inc-tmus-market-value-declined-bloom-tree-partners-llc-has-cut-stake-by-3-64-million.html,False,5.665
9784,1018850755745386500,"['bloom', 'tree', 'partners', 'llc', 'has', 'cut', 'its', 't', 'mobile', 'us', 'inc', 'tmus', 'holding', 'as', 'valuation', 'declined', 'httpstcorxplegra']",Mon Jul 16 13:32:04 +0000 2018,bibeypost_stock,TMUS,T-Mobile US,https://www.bibeypost.com/bloom-tree-partners-llc-has-cut-its-t-mobile-us-inc-tmus-holding-as-valuation-declined/,False,5.478461538461539
9930,1018857728918376400,"['tmobile', 'us', 'tmus', 'lowered', 'to', 'hold', 'at', 'bidaskclub', 'httpstcolvveadc']",Mon Jul 16 13:59:46 +0000 2018,EnterpriseLeade,TMUS,T-Mobile US,http://theenterpriseleader.com/?p=990108,False,5.460000000000001
10023,1018862324860538900,"['short', 'sale', 'volume', 'not', 'short', 'interest', 'for', 'tmus', 'at', 'is', 'httpstcorciekcqz', 't', 'wifi', 'tds', 'spok']",Mon Jul 16 14:18:02 +0000 2018,shortvolumes,TMUS,T-Mobile US,http://shortvolumes.com/?t=TMUS,False,5.2727272727272725
10383,1018884670824558600,"['should', 'the', 'market', 'be', 'rethinking', 'the', 'fcc', 'review', 'of', 'the', 'sprinttmobile', 'deal', 's', 'tmus', 'httpstcowdvfnknw']",Mon Jul 16 15:46:50 +0000 2018,WaltBTIG,TMUS,T-Mobile US,https://www.bloomberg.com/news/articles/2018-07-16/fcc-rejects-sinclair-plan-for-tv-station-sales-in-tribune-deal-jjof6bcs,True,5.376
10464,1018888030755618800,"['rt', 'waltbtig', 'should', 'the', 'market', 'be', 'rethinking', 'the', 'fcc', 'review', 'of', 'the', 'sprinttmobile', 'deal', 's', 'tmus', 'httpstcowdvfnknw']",Mon Jul 16 16:00:11 +0000 2018,RichBTIG,TMUS,T-Mobile US,https://www.bloomberg.com/news/articles/2018-07-16/fcc-rejects-sinclair-plan-for-tv-station-sales-in-tribune-deal-jjof6bcs,True,5.330909090909091
10545,1018892846999302100,"['jcfalloux', 'joeyt', 'yeahits', 'called', 'softbank', 'they', 'are', 'the', 'leader', 'in', 'ai', 'chips', 'just', 'think', 'what', 'sprint', 'will', 'httpstcohdlbmzp']",Mon Jul 16 16:19:19 +0000 2018,passthepuck,TMUS,T-Mobile US,https://twitter.com/i/web/status/1018892846999302144,False,5.625
10996,1018926221336481800,"['jpm', 'bac', 't', 'vz', 'tmus', 'trox', 'vntr', 'httpstcozqpbjxc']",Mon Jul 16 18:31:56 +0000 2018,Briefingcom,TMUS,T-Mobile US,https://twitter.com/BriefingcomSMU/status/1018925934563356672,False,4.84
11039,1018928673515176000,"['commented', 'on', 'sftby', 'vz', 't', 's', 'tmus', 'httpstconmyjzwgtf']",Mon Jul 16 18:41:41 +0000 2018,4GPro,TMUS,T-Mobile US,https://seekingalpha.com/article/4183612-sprint-t-mobile-merger-12-points-fcc-filing-signal-merger-approval-potential-appreciation?source=tweet&sht=pbz2lh&shu=4xrmp#comment-79074849,False,5.146666666666666
11101,1018933299547291600,"['s', 'tmus', 'vz', 't', 'httpstcokfihhhb']",Mon Jul 16 19:00:04 +0000 2018,SAlphaTech,TMUS,T-Mobile US,https://seekingalpha.com/article/4187341-t-buy-sell?source=feed_tags,False,4.9399999999999995
11184,1018938689089671200,"['s', 'tmus', 'vz', 't', 'httpstcoqomwtvvwe']",Mon Jul 16 19:21:29 +0000 2018,jjjinvesting,TMUS,T-Mobile US,https://seekingalpha.com/article/4187341-t-buy-sell?source=tweet,False,4.9399999999999995
11202,1018940094487715800,"['s', 'tmus', 'vz', 't', 'httpstcoqomwtvvwe', 'profits', 'last', 'years', 'safely', 'buy', 'my', 'aim', 'investing', 'book', 'get', 'f', 'httpstcopzqsznhy']",Mon Jul 16 19:27:04 +0000 2018,jjjinvesting,TMUS,T-Mobile US,https://seekingalpha.com/article/4187341-t-buy-sell?source=tweet,False,5.812307692307693
11422,1018954948795686900,"['the', 'current', 'state', 'of', 'sports', 'betting', 'amp', 'why', 'esports', 'matter', 'httpstcoaprbyncw', 'intc', 'amzn', 'atvi', 'chdn', 'ttwo', 'httpstcokqrincgv']",Mon Jul 16 20:26:05 +0000 2018,whotrades,TMUS,T-Mobile US,https://whotrades.com/people/984697114/timeline/4470185?showMore=1,False,5.3325000000000005
